name,price,location,title,link,miles,price_val,miles_val,year_val,age,predicted_price,residual
2021 Toyota corolla L Sedan 4D,"$1,000","Provo, UT",2021 Toyota corolla L Sedan 4D,https://www.facebook.com/marketplace/item/697067339466317/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,93K miles,1000,93.0,2021,4,7846.382194102203,-6846.382194102203
2018 Mazda 3 touring hatchback 4d,"$1,500","Roy, UT",2018 Mazda 3 touring hatchback 4d,https://www.facebook.com/marketplace/item/664097399797165/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,67K miles,1500,67.0,2018,7,7764.8275266117025,-6264.8275266117025
2018 Honda accord DX Sedan 4D,"$1,000","West Valley City, UT",2018 Honda accord DX Sedan 4D,https://www.facebook.com/marketplace/item/1329578202113357/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,100K miles,1000,100.0,2018,7,7209.993146050476,-6209.993146050476
2017 Chevrolet camaro LT Coupe 2D,"$2,000","Roy, UT",2017 Chevrolet camaro LT Coupe 2D,https://www.facebook.com/marketplace/item/672130945614456/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,89K miles,2000,89.0,2017,8,7222.038970664033,-5222.038970664033
2014 Chevrolet impala lt,"$1,000","Provo, UT",2014 Chevrolet impala lt,https://www.facebook.com/marketplace/item/737484779203660/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,118K miles,1000,118.0,2014,11,6215.760335571487,-5215.760335571487
2013 Volvo s60 T5,"$1,400","Orem, UT",2013 Volvo s60 T5,https://www.facebook.com/marketplace/item/685166307562893/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,101K miles,1400,101.0,2013,12,6328.685138468903,-4928.685138468903
2015 Chevrolet traverse financed car / carro financiado,"$1,500","Midvale, UT",2015 Chevrolet traverse financed car / carro financiado,https://www.facebook.com/marketplace/item/1644141486287051/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,117K miles,1500,117.0,2015,10,6405.47246752565,-4905.47246752565
2019 Toyota Mirai,"$2,900","Salt Lake City, UT",2019 Toyota Mirai,https://www.facebook.com/marketplace/item/1743563056537031/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,80K miles,2900,80.0,2019,6,7719.155375903527,-4819.155375903527
2014 Dodge avenger SE V6 Sedan 4D,"$1,000","Tooele, UT",2014 Dodge avenger SE V6 Sedan 4D,https://www.facebook.com/marketplace/item/1196003165175477/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,158K miles,1000,158.0,2014,11,5543.233813679092,-4543.233813679092
2012 Kia optima ex,"$1,000","Orem, UT",2012 Kia optima ex,https://www.facebook.com/marketplace/item/1409455506854279/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,142K miles,1000,142.0,2012,13,5466.4464846223445,-4466.4464846223445
2014 Fiat 500 Pop Hatchback 2D,"$1,300","Provo, UT",2014 Fiat 500 Pop Hatchback 2D,https://www.facebook.com/marketplace/item/670631905775276/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,149K miles,1300,149.0,2014,11,5694.55228110488,-4394.55228110488
2010 Nissan xterra,"$1,600","Alpine, UT",2010 Nissan xterra,https://www.facebook.com/marketplace/item/1173004934290126/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,100K miles,1600,100.0,2010,15,5826.801394795655,-4226.801394795655
2013 Dodge avenger SXT Sedan 4D,"$1,100","Springville, UT",2013 Dodge avenger SXT Sedan 4D,https://www.facebook.com/marketplace/item/660479426960032/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,170K miles,1100,170.0,2013,12,5168.57688820452,-4068.5768882045204
2018 Hyundai elantra SEL Sedan 4D,"$1,234","Tooele, UT",2018 Hyundai elantra SEL Sedan 4D,https://www.facebook.com/marketplace/item/670903605703949/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,220K miles,1234,220.0,2018,7,5192.41358037329,-3958.4135803732897
2015 Kia soul,"$2,500","Ogden, UT",2015 Kia soul,https://www.facebook.com/marketplace/item/910950891125921/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,116K miles,2500,116.0,2015,10,6422.28563057296,-3922.28563057296
2012 Volkswagen jetta sportwagen 2.0L TDI Sport Wagon 4D,"$1,234","Salt Lake City, UT",2012 Volkswagen jetta sportwagen 2.0L TDI Sport Wagon 4D,https://www.facebook.com/marketplace/item/1058987092795824/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,165K miles,1234,165.0,2012,13,5079.743734534217,-3845.743734534217
2012 Chevrolet cruze 1LT Sedan 4D,"$1,300","Santaquin, UT",2012 Chevrolet cruze 1LT Sedan 4D,https://www.facebook.com/marketplace/item/4089370234677453/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,165K miles,1300,165.0,2012,13,5079.743734534217,-3779.743734534217
2016 Nissan sentra,"$2,995","Sandy, UT",2016 Nissan sentra,https://www.facebook.com/marketplace/item/1073017748054616/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,115K miles,2995,115.0,2016,9,6611.997762527122,-3616.997762527122
2014 Chevrolet cruze LT Sedan 4D,"$2,000","Roosevelt, UT",2014 Chevrolet cruze LT Sedan 4D,https://www.facebook.com/marketplace/item/1354083485872249/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,161K miles,2000,161.0,2014,11,5492.7943245371625,-3492.7943245371625
2011 Jeep liberty,"$4,000","Saratoga Springs, UT",2011 Jeep liberty,https://www.facebook.com/marketplace/item/1411130400339090/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,15K miles,4000,15.0,2011,14,7428.819222723848,-3428.819222723848
2011 Nissan altima 2.5 S Sedan 4D,"$1,500","Saratoga Springs, UT",2011 Nissan altima 2.5 S Sedan 4D,https://www.facebook.com/marketplace/item/4013805912281058/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,164K miles,1500,164.0,2011,14,4923.657928674675,-3423.6579286746746
2012 Chrysler 200C Platinum Sedan 4D,"$2,000","Provo, UT",2012 Chrysler 200C Platinum Sedan 4D,https://www.facebook.com/marketplace/item/1897222227703685/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,147K miles,2000,147.0,2012,13,5382.380669385795,-3382.380669385795
2013 Dodge dart SXT Sedan 4D,"$3,500","Eagle Mountain, UT",2013 Dodge dart SXT Sedan 4D,https://www.facebook.com/marketplace/item/1792817958308957/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,70K miles,3500,70.0,2013,12,6849.893192935509,-3349.8931929355094
2014 Hyundai sonata,"$2,500","Salt Lake City, UT",2014 Hyundai sonata,https://www.facebook.com/marketplace/item/1763282057730058/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,150K miles,2500,150.0,2014,11,5677.739118057571,-3177.7391180575714
2015 Kia soul EX Wagon 4D,"$1,700","West Jordan, UT",2015 Kia soul EX Wagon 4D,https://www.facebook.com/marketplace/item/1403635470651555/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,209K miles,1700,209.0,2015,10,4858.66146717314,-3158.6614671731404
